Composition,Load (N),Sliding distance(m),Observed wear,Observed wear(*10^-3),CoF,CoF(*10^-3)
0,10,1000,0.57,570,0.326,326
0,10,2000,1.76,1760,0.426,426
0,10,3000,2.42,2420,0.442,442
0,10,4000,3.22,3220,0.4655,466
0,10,5000,5.14,5140,0.489,489
0,20,1000,2.04,2040,0.383,383
0,20,2000,4.53,4530,0.479,479
0,20,3000,5.9,5900,0.497,497
0,20,4000,7.87,7870,0.508,508
0,20,5000,17.85,17850,0.519,519
0,30,1000,4.59,4590,0.43,430
0,30,2000,9.16,9160,0.49,490
0,30,3000,13.75,13750,0.51,510
0,30,4000,18.32,18320,0.519,519
0,30,5000,22.91,22910,0.528,528
0,40,1000,5.9,5900,0.458,458
0,40,2000,11.66,11660,0.5035,504
0,40,3000,17.5,17500,0.5185,519
0,40,4000,23.32,23320,0.5385,539
0,40,5000,27.81,27810,0.54,540
0,50,1000,8.15,8150,0.486,486
0,50,2000,13.5,13500,0.517,517
0,50,3000,20.27,20270,0.527,527
0,50,4000,27.87,27870,0.558,558
0,50,5000,28.36,28360,0.569,569
3,10,1000,0.29,286,0.369,369
3,10,2000,1.01,1009,0.424,424
3,10,3000,1.73,1732,0.475,475
3,10,4000,2.3,2303,0.484,484
3,10,5000,2.51,2513,0.493,493
3,20,1000,0.93,933,0.44,440
3,20,2000,1.35,1352,0.483,483
3,20,3000,3.69,3695,0.496,496
3,20,4000,5.26,5259,0.5115,512
3,20,5000,6.72,6720,0.527,527
3,30,1000,1.46,1457,0.458,458
3,30,2000,2.28,2276,0.508,508
3,30,3000,4.1,4103,0.526,526
3,30,4000,5.94,5944,0.5565,557
3,30,5000,8.29,8295,0.587,587
3,40,1000,1.69,1694,0.484,484
3,40,2000,2.65,2646,0.519,519
3,40,3000,5.12,5121,0.5325,533
3,40,4000,6.75,6747,0.57225,572
3,40,5000,8.89,8889,0.612,612
3,50,1000,2.44,2437,0.51,510
3,50,2000,3.1,3103,0.53,530
3,50,3000,6.17,6167,0.549,549
3,50,4000,8.14,8136,0.588,588
3,50,5000,11.89,11893,0.617,617
4.5,10,1000,0.26,260,0.385,385
4.5,10,2000,0.79,790,0.446,446
4.5,10,3000,1.43,1430,0.4635,464
4.5,10,4000,1.77,1770,0.4883,488
4.5,10,5000,2.11,2110,0.513,513
4.5,20,1000,0.83,830,0.4375,438
4.5,20,2000,1.25,1250,0.4955,496
4.5,20,3000,3.32,3320,0.523,523
4.5,20,4000,4.55,4550,0.537,537
4.5,20,5000,5.99,5990,0.551,551
4.5,30,1000,1.26,1260,0.485,485
4.5,30,2000,2.03,2030,0.499,499
4.5,30,3000,3.64,3640,0.543,543
4.5,30,4000,5.33,5330,0.5533,553
4.5,30,5000,7.19,7190,0.5635,564
4.5,40,1000,1.55,1550,0.4943,494
4.5,40,2000,2.5,2500,0.5163,516
4.5,40,3000,4.67,4670,0.57,570
4.5,40,4000,6.09,6090,0.5856,586
4.5,40,5000,8.09,8090,0.6013,601
4.5,50,1000,2,2000,0.5035,504
4.5,50,2000,2.8,2800,0.5335,534
4.5,50,3000,5.62,5620,0.597,597
4.5,50,4000,7,7000,0.618,618
4.5,50,5000,9.92,9920,0.639,639
6,10,1000,0.24,238,0.401,401
6,10,2000,0.62,616,0.451,451
6,10,3000,1.18,1181,0.495,495
6,10,4000,1.29,1295,0.5045,505
6,10,5000,1.79,1790,0.514,514
6,20,1000,0.76,755,0.452,452
6,20,2000,1.21,1212,0.508,508
6,20,3000,3.1,3100,0.52,520
6,20,4000,4.03,4033,0.521,521
6,20,5000,5.52,5524,0.54,540
6,30,1000,1.11,1111,0.469,469
6,30,2000,1.86,1862,0.538,538
6,30,3000,3.33,3332,0.56,560
6,30,4000,4.96,4963,0.5835,584
6,30,5000,6.42,6419,0.607,607
6,40,1000,1.48,1476,0.4925,493
6,40,2000,2.48,2475,0.555,555
6,40,3000,4.43,4428,0.574,574
6,40,4000,5.71,5712,0.599,599
6,40,5000,7.66,7662,0.624,624
6,50,1000,1.61,1609,0.516,516
6,50,2000,2.64,2643,0.572,572
6,50,3000,5.34,5338,0.588,588
6,50,4000,6.18,6181,0.6145,615
6,50,5000,8.36,8362,0.641,641
9,10,1000,0.21,210,0.43,430
9,10,2000,0.51,510,0.462,462
9,10,3000,0.92,920,0.487,487
9,10,4000,0.99,990,0.5065,507
9,10,5000,1.2,1200,0.526,526
9,20,1000,0.52,520,0.47,470
9,20,2000,1.05,1050,0.528,528
9,20,3000,2.36,2360,0.541,541
9,20,4000,3.49,3490,0.575,575
9,20,5000,4.35,4350,0.579,579
9,30,1000,0.73,730,0.51,510
9,30,2000,1.56,1560,0.53,530
9,30,3000,2.72,2720,0.58,580
9,30,4000,3.87,3870,0.586,586
9,30,5000,4.44,4440,0.592,592
9,40,1000,0.85,850,0.525,525
9,40,2000,1.82,1820,0.5505,551
9,40,3000,3.17,3170,0.5985,599
9,40,4000,3.72,3720,0.6093,609
9,40,5000,4.64,4640,0.62,620
9,50,1000,1.21,1210,0.54,540
9,50,2000,2.11,2110,0.581,581
9,50,3000,3.77,3770,0.617,617
9,50,4000,4.64,4640,0.6325,633
9,50,5000,5.78,5780,0.648,648
